origin_airport,destination_airport,num_flights,average_delay
SNA,MSP,914,-4.188730853391685
BIL,MSP,635,-3.477952755905512
SAN,ATL,1698,-3.4496466431095407
EWR,MSP,378,-3.211640211640211
MSO,MSP,417,-3.062350119904077
MSP,SNA,914,-2.8233041575492344
SLC,SNA,657,-2.289193302891933
MIA,LAX,370,-2.27027027027027
JAC,SLC,529,-2.169187145557656
MSP,FLL,456,-2.166666666666667
SNA,SLC,658,-2.047112462006079
SJU,ATL,1343,-1.8183172002978405
MSP,MIA,443,-1.5485327313769752
FNT,ATL,923,-1.5482123510292525
TVC,DTW,376,-1.5412234042553192
BDL,MSP,746,-1.4932975871313672
MSP,BIL,636,-1.391509433962264
MCO,SLC,902,-1.3774944567627496
BOI,SLC,561,-1.17825311942959
CVG,LAX,529,-1.0708884688090738
CLE,ATL,2249,-0.977100933748333
LEX,ATL,980,-0.8892857142857142
TPA,LAX,396,-0.8573232323232323
GRR,ATL,1266,-0.8550552922590837
PVD,DTW,546,-0.836080586080586
RNO,SLC,900,-0.826111111111111
SLC,BOS,568,-0.817781690140845
SAN,DTW,709,-0.7954866008462624
CVG,SLC,521,-0.767754318618042
RDU,DTW,621,-0.7648953301127215
SLC,BOI,561,-0.7459893048128342
FLL,DTW,1685,-0.6599406528189911
SFO,MSP,1744,-0.5954701834862384
JFK,CHS,429,-0.5291375291375291
MSP,TPA,907,-0.497794928335171
PDX,MSP,1289,-0.4577191621411948
BDL,DTW,1167,-0.4408740359897172
CLT,DTW,1211,-0.43146160198183314
RSW,ATL,2917,-0.38738429893726445
MSP,SAN,1068,-0.3441011235955056
SLC,OAK,916,-0.3269650655021834
OAK,SLC,914,-0.32111597374179435
CVG,MCO,592,-0.30743243243243246
FLL,ATL,4758,-0.26366120218579203
MSN,ATL,738,-0.18495934959349603
MYR,ATL,850,-0.08705882352941186
SNA,ATL,961,-0.08636836628511935
SLC,MCO,903,-0.07253599114064224
STT,ATL,623,-0.0537720706260032
CHS,ATL,3152,-0.032677664974619214
MSP,SLC,1848,-0.006764069264069139
MSN,DTW,1003,-0.005982053838484491
GRR,DTW,886,0.03950338600451486
PHX,ATL,1875,0.04533333333333345
DTW,RSW,1036,0.0815637065637067
SLC,MSP,1849,0.10086533261222286
MSP,LAS,2022,0.13921859545004933
MSP,MSO,417,0.1570743405275783
PHX,DTW,1145,0.1681222707423582
ATL,DAL,1420,0.1816901408450704
ATL,SAN,1704,0.18544600938967148
DTW,TVC,376,0.2273936170212767
SLC,DTW,1387,0.24333093006488848
ATL,HOU,1692,0.2630023640661938
SLC,PHX,969,0.3204334365325078
MSP,IND,856,0.34462616822429903
BUF,ATL,1559,0.3547145606157791
TUS,ATL,612,0.36274509803921573
SAN,SLC,1566,0.36494252873563227
SLC,DFW,710,0.3725352112676057
SLC,GEG,695,0.3870503597122301
SAN,MSP,1066,0.39212007504690427
MSP,BZN,645,0.3999999999999999
SLC,BWI,602,0.4169435215946844
MSP,RSW,753,0.4787516600265602
PDX,ATL,1087,0.5317387304507819
SLC,RNO,900,0.5361111111111112
MSP,ATL,3562,0.5746771476698485
TLH,ATL,1235,0.5939271255060727
TYS,ATL,928,0.6142241379310345
SFO,ATL,2216,0.6471119133574006
PIT,ATL,2574,0.6808469308469305
MSP,CLT,813,0.6845018450184501
MSP,BDL,748,0.6971925133689842
LAS,ATL,2539,0.7428121307601416
CAE,ATL,1010,0.805940594059406
TPA,MSP,907,0.814773980154355
GRR,MSP,666,0.8205705705705705
JAN,ATL,1893,0.8420496566296882
PHX,MSP,1702,0.8510575793184489
SYR,ATL,933,0.867631296891747
LAS,DTW,1594,0.8745294855708907
SFO,DTW,1307,0.9009181331293039
SLC,SMF,637,0.9105180533751962
ATL,TUL,1033,0.924491771539206
CAK,ATL,1326,0.9283559577677227
DTW,LAS,1588,0.9360831234256928
PDX,JFK,568,0.9876760563380285
RSW,DTW,1037,0.9932497589199615
SLC,CVG,522,1.0057471264367817
FLL,MSP,456,1.0285087719298245
MSY,LAX,928,1.0360991379310347
XNA,ATL,530,1.0726415094339623
DTW,FLL,1691,1.1167947959787106
GSO,ATL,1885,1.1180371352785143
DEN,SLC,567,1.1525573192239857
MSP,PHX,1703,1.1582501467997652
LAS,MSP,2019,1.2038137691926694
MSP,SJC,458,1.2117903930131004
BDL,ATL,2124,1.2168079096045197
SJU,JFK,1586,1.217843631778058
DTW,MIA,587,1.221465076660988
RSW,MSP,754,1.236737400530504
ATL,STT,628,1.2404458598726114
ATL,TYS,931,1.3254564983888293
TRI,ATL,476,1.3602941176470589
STL,ATL,2520,1.4001984126984128
OMA,ATL,1330,1.418421052631579
BZN,MSP,646,1.4690402476780187
LIT,ATL,1915,1.4887728459530025
STL,DTW,655,1.5
EYW,ATL,982,1.5020366598778003
ATL,ICT,856,1.520443925233645
GPT,ATL,1127,1.5514640638864243
SMF,SLC,636,1.5715408805031448
CLT,MSP,814,1.5730958230958234
BOI,MSP,488,1.5819672131147542
ATL,SMF,552,1.5860507246376812
PHX,SLC,976,1.5942622950819674
ATL,PDX,1084,1.5968634686346865
ATL,TRI,476,1.6050420168067228
ATL,BDL,2132,1.625703564727955
MSP,SMF,540,1.6583333333333334
DTW,STL,661,1.6596066565809382
MCO,ATL,5225,1.6666985645933017
ATL,MSN,737,1.671641791044776
SRQ,ATL,1921,1.6759500260281102
TUL,ATL,1032,1.7185077519379846
MSP,BWI,854,1.7494145199063231
ALB,ATL,823,1.7527339003645204
ATL,SLC,2536,1.772870662460568
AUS,SLC,387,1.7855297157622738
CMH,ATL,2541,1.8736717827626919
PNS,ATL,2250,1.8795555555555556
SLC,SAN,1567,1.89278876834716
ATL,OKC,1418,1.9047954866008463
ATL,CHS,3157,1.912258473234083
ATL,LAS,2552,1.9663009404388716
FAR,MSP,711,1.9824191279887482
ATL,BUF,1561,2.010570147341448
MSP,GEG,745,2.014765100671141
SLC,DEN,575,2.0469565217391303
ATL,PVD,908,2.069933920704846
MSP,PDX,1292,2.0700464396284834
MKE,ATL,2200,2.0788636363636366
SLC,PDX,1654,2.098851269649335
ATL,CLE,2250,2.1262222222222222
ATL,MKE,2210,2.1334841628959276
BWI,SLC,599,2.1477462437395656
ATL,PHX,1883,2.163568773234201
DTW,SAN,704,2.1889204545454546
MSP,BOS,1793,2.230619074177356
ATL,SNA,960,2.2536458333333336
DTW,MKE,883,2.2627406568516424
MSP,GRR,674,2.2663204747774484
ATL,DSM,909,2.271177117711771
OKC,ATL,1414,2.2797029702970297
SLC,ATL,2539,2.304450571090981
ANC,SEA,1240,2.311693548387097
DAB,ATL,1479,2.356997971602434
ATL,GPT,1131,2.3753315649867375
GSP,ATL,1672,2.3788875598086126
OMA,MSP,689,2.4013062409288826
PDX,SLC,1653,2.411070780399274
DTW,SLC,1384,2.4266618497109826
CVG,ATL,2207,2.432487539646579
ATL,JAN,1894,2.4353220696937696
SLC,AUS,389,2.4395886889460154
MCI,ATL,2510,2.442629482071713
BHM,ATL,3033,2.4803824596109463
ATL,SFO,2219,2.487607030193781
ATL,TLH,1235,2.492712550607288
