origin_airport,destination_airport,num_flights,average_delay
SNA,MSP,914,-4.188730853391685
BIL,MSP,635,-3.477952755905512
SAN,ATL,1698,-3.4496466431095407
EWR,MSP,378,-3.211640211640211
MSO,MSP,417,-3.062350119904077
MSP,SNA,914,-2.8233041575492344
SLC,SNA,657,-2.289193302891933
MIA,LAX,370,-2.27027027027027
JAC,SLC,529,-2.169187145557656
MSP,FLL,456,-2.166666666666667
SNA,SLC,658,-2.047112462006079
SJU,ATL,1343,-1.8183172002978405
MSP,MIA,443,-1.5485327313769752
MCO,BOS,576,10.934895833333332
DTW,LGA,2571,11.048424737456243
LAX,PDX,565,11.262831858407079
LAX,HNL,1289,11.616369278510472
MIA,LGA,1900,11.696842105263158
MCO,LGA,2177,11.806155259531465
JFK,PDX,567,11.95326278659612
FLL,JFK,1345,11.993680297397768
TPA,JFK,1099,12.959963603275705
TPA,LGA,1307,13.42195868400918
ATL,JFK,1889,13.643462149285337
ORD,MSP,1487,13.843308675184936
LAX,LAS,726,14.856060606060606
CHS,JFK,429,15.078088578088577
PBI,LGA,1570,15.186624203821655
LGA,BOS,3105,15.321256038647345
LGA,RSW,418,15.328947368421053
MIA,JFK,1242,15.782206119162641
DTW,EWR,902,16.09146341463415
BOS,JFK,1237,16.603476151980598
RSW,LGA,415,16.71566265060241
MSY,LGA,428,17.063084112149532
BOS,LGA,3094,17.626535229476406
MCO,JFK,1521,18.427021696252467
LAX,SFO,1351,20.934122871946705
SFO,LAX,1352,25.294008875739642
