theater,aircraft,bomb_tonnage,bomb_tonnage_theater_percent,bomb_tonnage_overall_percent
MTO,A36,7564.0,0.015250128826693113,0.0021847016498035615
MTO,B25,134755.41,0.2716865894492133,0.03892125417067099
MTO,B26,65364.0,0.131783371315173,0.018879010925140136
MTO,A20,11413.0,0.023010275026315242,0.003296404009678483
MTO,HVY,5630.0,0.01135090233927581,0.0016261065955042373
MTO,B24,141903.4,0.2860979813518989,0.04098580011802415
MTO,B17,89443.0,0.1803301523857631,0.02583372153138286
MTO,OB17,8147.0,0.016425541981896986,0.002353088886957908
MTO,SB17,4503.0,0.009078705725356833,0.0013005964475231936
MTO,SB24,4180.0,0.008427490546744739,0.0012073047192198423
MTO,OB24,17043.0,0.03436117736559105,0.0049225106051827205
PTO,B24,120762.9,0.38241541245303223,0.03487981317623777
PTO,B17,3735.35,0.011828594799449449,0.001078876957640631
PTO,B25,28695.825,0.09087000852956524,0.008288183001054241
PTO,A20,16239.175,0.05142399532904534,0.004690342730559062
PTO,P47,7354.0,0.023287640021725207,0.0021240475849623732
PTO,B29,91768.0,0.2905983341737393,0.02650524867783887
PTO,P38,11985.0,0.03795245657606427,0.003461614129150672
PTO,PV-1 VENTURA,2040.2849999999999,0.00646089510765918,0.0005892932318309702
PTO,P51,5274.0,0.016700980891294362,0.0015232835141544133
PTO,P40,1678.15,0.005314135586409866,0.0004846981853011431
PTO,100 SQ,4000.0,0.01266665217390547,0.001155315520784538
PTO,43 BG,16500.0,0.05224994021736006,0.004765676523236219
ETO,LGT,33090.0,0.012665364533993815,0.00955734764569009
ETO,B17,712589.0,0.2727470368061082,0.20581628291008328
ETO,GB17,192868.0,0.07382120057244845,0.05570584846566807
ETO,HVY,758748.0,0.2904146270607053,0.21914833519105667
ETO,B26,254657.0,0.09747125222524217,0.07355229614410702
ETO,GB24,72555.0,0.027770792498154163,0.02095597940263054
ETO,B24,418662.0,0.16024499385104016,0.12092167664067406
ETO,OB24,16213.0,0.006205607591104313,0.004682782634619929
ETO,A20,36293.0,0.013891328952319055,0.010482466548958309
ETO,A26,25906.0,0.009915652270101051,0.00748240097036106
ETO,WELL,18077.0,0.006919063000332614,0.005221159667305524
ETO,MED,17810.0,0.0068168674025515215,0.005144042356293155
CBI,B25,15080.05,0.3985740189541404,0.004355553954801718
CBI,B29,1383.0,0.03655345096425915,0.00039945034131125403
CBI,P51,2611.0,0.06901016664329765,0.0007541322061921071
CBI,P40,2185.33,0.05775947432807263,0.0006311864167590186
CBI,B24,9120.9,0.2410704055675425,0.002634379333380923
CBI,P38,944.0,0.02495043941450516,0.00027265446290515095
CBI,P47,4454.0,0.11772167071208262,0.001286443832393583
CBI,A36,552.0,0.014589663725430985,0.00015943354186826624
CBI,LIB,822.25,0.021732519924339905,0.0002374895467412716
CBI,WELL,217.25,0.005742037036865727,6.274807422261023e-05
CBI,BLEN,235.0,0.006211179303399061,6.78747868460916e-05
